PG,SG,SF,PF,C,G,F,UTIL,
T.J. McConnell (15066738),Justin Holiday (15066718),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Jimmy Butler (15066507),James Harden (15066467),287.4
T.J. McConnell (15066738),Justin Holiday (15066718),Kawhi Leonard (15066476),Doug McDermott (15066762),Myles Turner (15066546),James Harden (15066467),Jimmy Butler (15066507),Aaron Holiday (15066648),280.2
Aaron Holiday (15066648),James Harden (15066467),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Jimmy Butler (15066507),Justin Holiday (15066718),T.J. McConnell (15066738),287.4
James Harden (15066467),Aaron Holiday (15066648),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Jimmy Butler (15066507),Paul George (15066489),T.J. McConnell (15066738),287.4
T.J. McConnell (15066738),James Harden (15066467),Justin Holiday (15066718),Jakarr Sampson (15066850),Bam Adebayo (15066512),Aaron Holiday (15066648),Jimmy Butler (15066507),Paul George (15066489),286.4
Aaron Holiday (15066648),James Harden (15066467),Justin Holiday (15066718),Al Horford (15066548),Serge Ibaka (15066600),T.J. McConnell (15066738),Jimmy Butler (15066507),Bam Adebayo (15066512),282.1
James Harden (15066467),Jimmy Butler (15066507),Justin Holiday (15066718),Jakarr Sampson (15066850),Bam Adebayo (15066512),T.J. McConnell (15066738),Paul George (15066489),Aaron Holiday (15066648),286.4
T.J. McConnell (15066738),Jimmy Butler (15066507),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Paul George (15066489),Aaron Holiday (15066648),287.4
James Harden (15066467),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Jimmy Butler (15066507),Justin Holiday (15066718),287.4
T.J. McConnell (15066738),James Harden (15066467),Jimmy Butler (15066507),Jakarr Sampson (15066850),Bam Adebayo (15066512),Aaron Holiday (15066648),Justin Holiday (15066718),Paul George (15066489),286.4
James Harden (15066467),Justin Holiday (15066718),Victor Oladipo (15066556),Marcus Morris Sr. (15066602),Al Horford (15066548),Aaron Holiday (15066648),Kawhi Leonard (15066476),T.J. McConnell (15066738),277.6
James Harden (15066467),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Justin Holiday (15066718),Jimmy Butler (15066507),287.4
T.J. McConnell (15066738),Aaron Holiday (15066648),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Justin Holiday (15066718),Paul George (15066489),287.4
Aaron Holiday (15066648),James Harden (15066467),Kawhi Leonard (15066476),Doug McDermott (15066762),Myles Turner (15066546),T.J. McConnell (15066738),Justin Holiday (15066718),Bam Adebayo (15066512),283.6
T.J. McConnell (15066738),Justin Holiday (15066718),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Jimmy Butler (15066507),James Harden (15066467),287.4
T.J. McConnell (15066738),James Harden (15066467),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Justin Holiday (15066718),Paul George (15066489),287.4
Aaron Holiday (15066648),Justin Holiday (15066718),Jimmy Butler (15066507),Doug McDermott (15066762),Myles Turner (15066546),James Harden (15066467),Kawhi Leonard (15066476),T.J. McConnell (15066738),280.2
T.J. McConnell (15066738),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Jimmy Butler (15066507),Justin Holiday (15066718),James Harden (15066467),287.4
Aaron Holiday (15066648),Jimmy Butler (15066507),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Paul George (15066489),T.J. McConnell (15066738),287.4
Aaron Holiday (15066648),Victor Oladipo (15066556),Kawhi Leonard (15066476),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Justin Holiday (15066718),T.J. McConnell (15066738),284.7
T.J. McConnell (15066738),James Harden (15066467),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Justin Holiday (15066718),Jimmy Butler (15066507),287.4
Aaron Holiday (15066648),Justin Holiday (15066718),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Jimmy Butler (15066507),James Harden (15066467),287.4
T.J. McConnell (15066738),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Justin Holiday (15066718),Jimmy Butler (15066507),James Harden (15066467),287.4
James Harden (15066467),Aaron Holiday (15066648),Kawhi Leonard (15066476),Doug McDermott (15066762),Myles Turner (15066546),Jimmy Butler (15066507),Justin Holiday (15066718),T.J. McConnell (15066738),280.2
T.J. McConnell (15066738),James Harden (15066467),Jimmy Butler (15066507),Jakarr Sampson (15066850),Bam Adebayo (15066512),Aaron Holiday (15066648),Paul George (15066489),Justin Holiday (15066718),286.4
Aaron Holiday (15066648),James Harden (15066467),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Jimmy Butler (15066507),Justin Holiday (15066718),T.J. McConnell (15066738),287.4
Aaron Holiday (15066648),Justin Holiday (15066718),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Paul George (15066489),T.J. McConnell (15066738),287.4
T.J. McConnell (15066738),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Justin Holiday (15066718),Jimmy Butler (15066507),287.4
Aaron Holiday (15066648),Lou Williams (15066578),Kawhi Leonard (15066476),Jakarr Sampson (15066850),Nikola Jokic (15066479),James Harden (15066467),Justin Holiday (15066718),T.J. McConnell (15066738),278.6
Aaron Holiday (15066648),James Harden (15066467),Kawhi Leonard (15066476),Doug McDermott (15066762),Myles Turner (15066546),T.J. McConnell (15066738),Justin Holiday (15066718),Bam Adebayo (15066512),283.6
James Harden (15066467),Justin Holiday (15066718),Jimmy Butler (15066507),Jakarr Sampson (15066850),Bam Adebayo (15066512),Aaron Holiday (15066648),Paul George (15066489),T.J. McConnell (15066738),286.4
Goran Dragic (15066587),Aaron Holiday (15066648),Kawhi Leonard (15066476),Jakarr Sampson (15066850),Bam Adebayo (15066512),Reggie Jackson (15066621),Justin Holiday (15066718),James Harden (15066467),281.5
T.J. McConnell (15066738),James Harden (15066467),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Michael Porter Jr. (15066514),Paul George (15066489),285.4
T.J. McConnell (15066738),Aaron Holiday (15066648),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Jimmy Butler (15066507),Paul George (15066489),James Harden (15066467),287.4
Aaron Holiday (15066648),James Harden (15066467),Doug McDermott (15066762),Michael Porter Jr. (15066514),Bam Adebayo (15066512),T.J. McConnell (15066738),Justin Holiday (15066718),Paul George (15066489),285.4
Lou Williams (15066578),James Harden (15066467),Jimmy Butler (15066507),Danilo Gallinari (15066552),Bam Adebayo (15066512),T.J. McConnell (15066738),Justin Holiday (15066718),Aaron Holiday (15066648),283.7
James Harden (15066467),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Justin Holiday (15066718),Jimmy Butler (15066507),T.J. McConnell (15066738),287.4
James Harden (15066467),Aaron Holiday (15066648),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Michael Porter Jr. (15066514),Paul George (15066489),285.4
James Harden (15066467),Jimmy Butler (15066507),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Paul George (15066489),T.J. McConnell (15066738),287.4
T.J. McConnell (15066738),Victor Oladipo (15066556),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Kawhi Leonard (15066476),James Harden (15066467),284.7
T.J. McConnell (15066738),James Harden (15066467),Michael Porter Jr. (15066514),Jakarr Sampson (15066850),Bam Adebayo (15066512),Aaron Holiday (15066648),Justin Holiday (15066718),Paul George (15066489),284.4
T.J. McConnell (15066738),Justin Holiday (15066718),Doug McDermott (15066762),Michael Porter Jr. (15066514),Bam Adebayo (15066512),Aaron Holiday (15066648),Paul George (15066489),James Harden (15066467),285.4
T.J. McConnell (15066738),Aaron Holiday (15066648),Paul George (15066489),Jakarr Sampson (15066850),Bam Adebayo (15066512),Justin Holiday (15066718),Jimmy Butler (15066507),James Harden (15066467),286.4
Aaron Holiday (15066648),James Harden (15066467),Justin Holiday (15066718),Michael Porter Jr. (15066514),Bam Adebayo (15066512),T.J. McConnell (15066738),Doug McDermott (15066762),Paul George (15066489),285.4
T.J. McConnell (15066738),Aaron Holiday (15066648),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),Justin Holiday (15066718),Paul George (15066489),James Harden (15066467),287.4
Aaron Holiday (15066648),Justin Holiday (15066718),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Jimmy Butler (15066507),T.J. McConnell (15066738),287.4
Aaron Holiday (15066648),Jimmy Butler (15066507),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Paul George (15066489),James Harden (15066467),287.4
Aaron Holiday (15066648),James Harden (15066467),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Justin Holiday (15066718),Paul George (15066489),287.4
T.J. McConnell (15066738),James Harden (15066467),Justin Holiday (15066718),Jakarr Sampson (15066850),Bam Adebayo (15066512),Aaron Holiday (15066648),Jimmy Butler (15066507),Paul George (15066489),286.4
James Harden (15066467),Jimmy Butler (15066507),Kawhi Leonard (15066476),Jakarr Sampson (15066850),Al Horford (15066548),Aaron Holiday (15066648),Justin Holiday (15066718),T.J. McConnell (15066738),278.7
T.J. McConnell (15066738),Aaron Holiday (15066648),Justin Holiday (15066718),Doug McDermott (15066762),Myles Turner (15066546),James Harden (15066467),Jimmy Butler (15066507),Kawhi Leonard (15066476),280.2
James Harden (15066467),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Justin Holiday (15066718),Jimmy Butler (15066507),287.4
James Harden (15066467),Aaron Holiday (15066648),Kawhi Leonard (15066476),Michael Porter Jr. (15066514),Marc Gasol (15066663),T.J. McConnell (15066738),Justin Holiday (15066718),Lou Williams (15066578),279.9
James Harden (15066467),Aaron Holiday (15066648),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),Justin Holiday (15066718),Paul George (15066489),T.J. McConnell (15066738),287.4
James Harden (15066467),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Jimmy Butler (15066507),Justin Holiday (15066718),287.4
James Harden (15066467),Jimmy Butler (15066507),Kawhi Leonard (15066476),Doug McDermott (15066762),Myles Turner (15066546),T.J. McConnell (15066738),Justin Holiday (15066718),Aaron Holiday (15066648),280.2
James Harden (15066467),Aaron Holiday (15066648),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),Justin Holiday (15066718),Paul George (15066489),T.J. McConnell (15066738),287.4
T.J. McConnell (15066738),James Harden (15066467),Kawhi Leonard (15066476),Doug McDermott (15066762),Myles Turner (15066546),Justin Holiday (15066718),Jimmy Butler (15066507),Aaron Holiday (15066648),280.2
Aaron Holiday (15066648),James Harden (15066467),Jimmy Butler (15066507),Doug McDermott (15066762),Myles Turner (15066546),T.J. McConnell (15066738),Justin Holiday (15066718),Kawhi Leonard (15066476),280.2
T.J. McConnell (15066738),Aaron Holiday (15066648),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Paul George (15066489),Justin Holiday (15066718),287.4
James Harden (15066467),Victor Oladipo (15066556),Kawhi Leonard (15066476),Marcus Morris Sr. (15066602),Bam Adebayo (15066512),Justin Holiday (15066718),Doug McDermott (15066762),T.J. McConnell (15066738),281
Aaron Holiday (15066648),James Harden (15066467),Kawhi Leonard (15066476),Doug McDermott (15066762),Myles Turner (15066546),T.J. McConnell (15066738),Justin Holiday (15066718),Bam Adebayo (15066512),283.6
Aaron Holiday (15066648),Justin Holiday (15066718),Doug McDermott (15066762),Robert Covington (15066540),Bam Adebayo (15066512),James Harden (15066467),Kawhi Leonard (15066476),T.J. McConnell (15066738),285.3
Aaron Holiday (15066648),James Harden (15066467),Justin Holiday (15066718),Jakarr Sampson (15066850),Myles Turner (15066546),T.J. McConnell (15066738),Kawhi Leonard (15066476),Bam Adebayo (15066512),282.6
T.J. McConnell (15066738),James Harden (15066467),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Paul George (15066489),Justin Holiday (15066718),287.4
Stacks ,,,,,,,,
James Harden (15066467),Aaron Holiday (15066648),Eric Gordon (15066676),Robert Covington (15066540),Bam Adebayo (15066512),Justin Holiday (15066718),Paul George (15066489),T.J. McConnell (15066738),279.9
Aaron Holiday (15066648),James Harden (15066467),Justin Holiday (15066718),Marcus Morris Sr. (15066602),Bam Adebayo (15066512),T.J. McConnell (15066738),Paul George (15066489),Lou Williams (15066578),282.9
T.J. McConnell (15066738),Justin Holiday (15066718),Kawhi Leonard (15066476),Marcus Morris Sr. (15066602),JaMychal Green (15066699),Aaron Holiday (15066648),Paul George (15066489),James Harden (15066467),276.7
Reggie Jackson (15066621),Lou Williams (15066578),Kawhi Leonard (15066476),Marcus Morris Sr. (15066602),Bam Adebayo (15066512),Aaron Holiday (15066648),Paul George (15066489),T.J. McConnell (15066738),273.7
James Harden (15066467),Aaron Holiday (15066648),Jimmy Butler (15066507),Al Horford (15066548),Bam Adebayo (15066512),T.J. McConnell (15066738),Josh Richardson (15066569),Furkan Korkmaz (15066756),275.5
T.J. McConnell (15066738),James Harden (15066467),Justin Holiday (15066718),Al Horford (15066548),Bam Adebayo (15066512),Goran Dragic (15066587),Jimmy Butler (15066507),Aaron Holiday (15066648),283.7
T.J. McConnell (15066738),Aaron Holiday (15066648),Justin Holiday (15066718),Jae Crowder (15066606),Bam Adebayo (15066512),Goran Dragic (15066587),Jimmy Butler (15066507),James Harden (15066467),276.4
Goran Dragic (15066587),Aaron Holiday (15066648),Duncan Robinson (15066635),Jae Crowder (15066606),Bam Adebayo (15066512),T.J. McConnell (15066738),Jimmy Butler (15066507),James Harden (15066467),273.1
T.J. McConnell (15066738),James Harden (15066467),Paul George (15066489),Michael Porter Jr. (15066514),Bam Adebayo (15066512),Monte Morris (15066665),Justin Holiday (15066718),Torrey Craig (15066694),277.3
T.J. McConnell (15066738),James Harden (15066467),Norman Powell (15066582),OG Anunoby (15066624),Marc Gasol (15066663),Justin Holiday (15066718),Kawhi Leonard (15066476),Bam Adebayo (15066512),273.2
T.J. McConnell (15066738),James Harden (15066467),Justin Holiday (15066718),Michael Porter Jr. (15066514),Bam Adebayo (15066512),Eric Gordon (15066676),Jimmy Butler (15066507),Aaron Holiday (15066648),283.9
T.J. McConnell (15066738),Aaron Holiday (15066648),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Jimmy Butler (15066507),Paul George (15066489),James Harden (15066467),287.4
Aaron Holiday (15066648),Justin Holiday (15066718),Victor Oladipo (15066556),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Kawhi Leonard (15066476),James Harden (15066467),284.7
