Name,Team,Game,W,IP,TBF,Ha,1B,2B,3B,HR,BBa,K,Yahoo,Fanduel,DraftKings
Zack Greinke, Astros, TEX @ HOU, .41, 6.11, 24.15, 5.11, 3.39, 1.03, .07, .62, 1.21, 5.79, 21.90, 34.51, 19.53
Clayton Kershaw, Dodgers, ARI @ LAD, .47, 5.44, 21.43, 4.23, 2.57, .85, .04, .77, 1.24, 5.72, 20.98, 32.26, 18.58
Mike Clevinger, Padres, SD @ LAA, .34, 5.15, 21.52, 4.10, 2.50, .85, .05, .70, 2.35, 6.01, 18.82, 30.62, 16.96
Andrew Heaney, Angels, SD @ LAA, .31, 5.48, 22.71, 5.08, 3.32, .88, .09, .79, 1.68, 5.78, 18.49, 30.41, 16.59
Lance Lynn, Rangers, TEX @ HOU, .28, 5.65, 23.68, 5.28, 3.38, 1.13, .10, .67, 1.97, 5.36, 17.35, 29.32, 15.57
Danny Duffy, Royals, CWS @ KC, .28, 4.55, 19.62, 4.78, 2.99, 1.02, .09, .68, 1.56, 4.71, 13.58, 23.04, 12.09
Dylan Cease, White Sox, CWS @ KC, .33, 4.71, 20.85, 4.78, 3.05, 1.06, .10, .56, 2.45, 4.22, 12.21, 22.19, 10.93
Taijuan Walker, Blue Jays, TOR @ BOS, .31, 4.45, 19.49, 4.91, 2.90, 1.20, .08, .73, 1.58, 4.17, 11.91, 20.88, 10.56
Zach Eflin, Phillies, WSH @ PHI, .30, 4.42, 19.21, 4.91, 3.09, 1.02, .09, .72, 1.51, 3.61, 10.99, 19.32, 9.61
Luke Weaver, Diamondbacks, ARI @ LAD, .12, 3.85, 16.87, 4.00, 2.11, .91, .04, .94, 1.61, 4.16, 10.62, 18.02, 9.41
Alec Mills, Cubs, CHC @ PIT, .27, 4.18, 17.96, 4.52, 2.99, .96, .10, .47, 1.29, 3.07, 10.28, 17.49, 8.89
Jonathan Brubaker, Pirates, CHC @ PIT, .16, 3.84, 17.00, 3.83, 2.32, .96, .08, .48, 1.99, 3.64, 10.00, 17.32, 8.87
J.A. Happ, Yankees, NYY @ NYM, .20, 4.03, 17.48, 4.15, 2.59, .73, .04, .79, 1.62, 3.35, 9.98, 17.05, 8.68
Martin Perez, Red Sox, TOR @ BOS, .21, 3.97, 17.87, 4.59, 2.81, 1.02, .08, .68, 1.81, 3.41, 8.56, 15.99, 7.50
Anibal Sanchez, Nationals, WSH @ PHI, .21, 4.02, 17.89, 4.68, 2.62, 1.00, .09, .97, 1.53, 3.06, 7.81, 14.77, 6.68
Shohei Ohtani, Angels, SD @ LAA, .00, .00, 4.42, .84, .46, .18, .01, .18, .48, 1.44, 7.86, 10.42, 7.85
Chasen Shreve, Mets, NYY @ NYM, .00, 2.15, 9.20, 1.75, 1.03, .33, .02, .36, 1.19, .00, -4.60, 11.09, 6.17
Robert Gsellman, Mets, NYY @ NYM, .01, 2.87, 12.32, 2.99, 1.89, .63, .04, .42, 1.01, 2.30, 6.74, 11.20, 5.79
Jacob deGrom, Mets, NYY @ NYM, .00, 1.04, 4.08, .69, .47, .13, .01, .09, .33, .00, -1.48, 6.80, 4.18
Hansel Robles, Angels, SD @ LAA, .00, 1.08, 4.51, .98, .63, .18, .02, .14, .39, .00, -2.11, 5.42, 3.06
Drew Smith, Mets, NYY @ NYM, .00, 1.37, 6.04, 1.39, .84, .27, .02, .27, .70, .00, -3.43, 5.34, 2.65
Jonathan Holder, Yankees, NYY @ NYM, .00, 1.27, 5.54, 1.36, .90, .27, .02, .17, .49, .00, -2.90, 5.17, 2.66
Jonathan Loaisiga, Yankees, NYY @ NYM, .00, .99, 4.24, .92, .57, .18, .01, .16, .43, .00, -2.14, 4.87, 2.68
Craig Stammen, Padres, SD @ LAA, .00, 1.08, 4.46, .98, .63, .19, .01, .15, .32, .00, -2.05, 4.63, 2.57
Chad Green, Yankees, NYY @ NYM, .00, .72, 2.97, .63, .38, .13, .01, .11, .24, .00, -1.36, 4.15, 2.43
Rick Porcello, Mets, NYY @ NYM, .00, .90, 3.80, .86, .56, .17, .01, .12, .29, .00, -1.81, 4.15, 2.30
Edwin Diaz, Mets, NYY @ NYM, .00, .51, 2.09, .35, .21, .07, .00, .07, .26, .00, -.89, 3.53, 2.12
Mike Mayers, Angels, SD @ LAA, .00, .62, 2.59, .54, .33, .11, .01, .08, .25, .00, -1.22, 3.19, 1.81
Jacob Barnes, Angels, SD @ LAA, .00, .62, 2.62, .57, .38, .10, .01, .08, .25, .00, -1.25, 2.98, 1.66
Matt Strahm, Padres, SD @ LAA, .00, .64, 2.70, .57, .34, .11, .01, .11, .29, .00, -1.33, 2.99, 1.64
Cal Quantrill, Indians, SD @ LAA, .00, .65, 2.77, .61, .42, .11, .01, .08, .27, .00, -1.36, 2.94, 1.59
Luis Avilan, Â , NYY @ NYM, .00, .59, 2.59, .57, .38, .10, .01, .09, .31, .00, -1.39, 2.60, 1.35
Caleb Ferguson, Dodgers, ARI @ LAD, .00, .44, 1.82, .33, .20, .07, .00, .05, .20, .00, -.78, 2.45, 1.43
Luis Cessa, Yankees, NYY @ NYM, .00, .55, 2.33, .54, .34, .11, .01, .08, .18, .00, -1.14, 2.47, 1.35
Scott Barlow, Royals, CWS @ KC, .00, .41, 1.72, .37, .24, .07, .01, .05, .17, .00, -.83, 2.29, 1.30
Felix Pena, Angels, SD @ LAA, .00, .42, 1.74, .35, .23, .07, .01, .04, .16, .00, -.78, 2.22, 1.28
Kevin Ginkel, Diamondbacks, ARI @ LAD, .00, .48, 2.16, .46, .25, .10, .01, .10, .31, .00, -1.27, 2.25, 1.15
Emilio Pagan, Padres, SD @ LAA, .00, .37, 1.53, .29, .17, .05, .00, .06, .18, .00, -.71, 1.91, 1.08
Darwinzon Hernandez, Red Sox, TOR @ BOS, .00, .34, 1.60, .29, .18, .07, .00, .04, .31, .00, -.94, 1.91, 1.00
Ty Buttrey, Angels, SD @ LAA, .00, .45, 1.89, .43, .30, .08, .01, .05, .17, .00, -.91, 1.89, 1.01
Tim Hill, Padres, SD @ LAA, .00, .34, 1.46, .29, .19, .06, .00, .04, .17, .00, -.72, 1.69, .93
Brooks Raley, Astros, TEX @ HOU, .00, .34, 1.45, .30, .19, .06, .01, .04, .18, .00, -.73, 1.63, .89
Javier Guerra, Padres, SD @ LAA, .00, .43, 1.90, .43, .28, .08, .00, .06, .24, .00, -1.05, 1.68, .82
Aroldis Chapman, Yankees, NYY @ NYM, .00, .25, 1.09, .20, .13, .04, .00, .02, .16, .00, -.50, 1.54, .87
Sam Howard, Pirates, CHC @ PIT, .00, .32, 1.44, .30, .18, .06, .01, .04, .21, .00, -.79, 1.58, .83
Adam Morgan, Phillies, WSH @ PHI, .00, .33, 1.44, .32, .21, .06, .01, .04, .17, .00, -.76, 1.55, .83
Vince Velasquez, Phillies, WSH @ PHI, .00, .33, 1.49, .32, .20, .06, .01, .06, .22, .00, -.85, 1.53, .78
Junior Guerra, Diamondbacks, ARI @ LAD, .00, .37, 1.66, .35, .17, .08, .00, .09, .24, .00, -.98, 1.52, .75
Greg Holland, Royals, CWS @ KC, .00, .29, 1.23, .27, .18, .05, .01, .03, .10, .00, -.60, 1.42, .79
Wander Suero, Nationals, WSH @ PHI, .00, .36, 1.62, .39, .25, .07, .01, .06, .18, .00, -.96, 1.44, .71
Tommy Hunter, Phillies, WSH @ PHI, .00, .35, 1.46, .35, .23, .08, .01, .04, .10, .00, -.72, 1.39, .74
Kenley Jansen, Dodgers, ARI @ LAD, .00, .22, .84, .14, .09, .03, .00, .02, .07, .00, -.30, 1.30, .80
Josh Staumont, Royals, CWS @ KC, .00, .22, .97, .17, .11, .03, .00, .02, .17, .00, -.51, 1.34, .74
Stefan Crichton, Diamondbacks, ARI @ LAD, .00, .29, 1.26, .27, .16, .06, .00, .05, .13, .00, -.67, 1.32, .71
Zack Burdi, White Sox, CWS @ KC, .00, .35, 1.52, .38, .24, .09, .01, .04, .15, .00, -.84, 1.35, .67
Ryan Tepera, Cubs, CHC @ PIT, .00, .26, 1.08, .22, .15, .05, .01, .02, .11, .00, -.51, 1.29, .72
Brusdar Graterol, Dodgers, ARI @ LAD, .00, .30, 1.22, .26, .16, .06, .00, .04, .10, .00, -.55, 1.28, .72
Taylor Widener, Diamondbacks, ARI @ LAD, .00, .29, 1.29, .27, .13, .06, .00, .08, .19, .00, -.77, 1.31, .67
Hoby Milner, Angels, SD @ LAA, .00, .27, 1.12, .24, .16, .04, .00, .04, .10, .00, -.53, 1.26, .70
Anthony Kay, Blue Jays, TOR @ BOS, .00, .30, 1.39, .33, .20, .08, .01, .04, .19, .00, -.82, 1.30, .64
Austin Brice, Red Sox, TOR @ BOS, .00, .25, 1.10, .24, .14, .05, .01, .05, .14, .00, -.60, 1.25, .67
Javy Guerra, Nationals, WSH @ PHI, .00, .43, 1.95, .52, .32, .10, .01, .10, .19, .00, -1.24, 1.34, .58
Geoff Hartlieb, Pirates, CHC @ PIT, .00, .30, 1.42, .33, .20, .08, .01, .05, .21, .00, -.88, 1.24, .57
Hector Rondon, Diamondbacks, ARI @ LAD, .00, .30, 1.34, .31, .16, .07, .00, .08, .16, .00, -.80, 1.21, .60
Brandon Workman, Phillies, WSH @ PHI, .00, .23, 1.00, .20, .14, .04, .01, .02, .13, .00, -.50, 1.16, .63
Evan Marshall, White Sox, CWS @ KC, .00, .25, 1.04, .23, .16, .05, .01, .02, .10, .00, -.48, 1.12, .62
Ryan Pressly, Astros, TEX @ HOU, .00, .17, .68, .12, .08, .03, .00, .01, .05, .00, -.25, 1.08, .65
Cy Sneed, Astros, TEX @ HOU, .00, .24, 1.03, .24, .15, .05, .00, .04, .08, .00, -.51, 1.10, .60
Humberto Castellanos, Astros, TEX @ HOU, .00, .25, 1.06, .22, .15, .04, .01, .03, .12, .00, -.52, 1.11, .59
Dan Winkler, Cubs, CHC @ PIT, .00, .26, 1.19, .26, .18, .05, .01, .03, .18, .00, -.68, 1.13, .56
Scott Alexander, Dodgers, ARI @ LAD, .00, .25, 1.08, .21, .14, .04, .00, .03, .14, .00, -.50, 1.09, .58
Josh Taylor, Red Sox, TOR @ BOS, .00, .21, .95, .20, .12, .04, .00, .04, .13, .00, -.55, 1.08, .58
Jesse Chavez, Rangers, TEX @ HOU, .00, .32, 1.41, .36, .22, .06, .01, .07, .12, .00, -.81, 1.11, .54
Steven Matz, Mets, NYY @ NYM, .00, .21, .86, .18, .11, .04, .00, .03, .08, .00, -.42, 1.05, .60
Aaron Nola, Phillies, WSH @ PHI, .00, .20, .85, .17, .11, .03, .00, .02, .08, .00, -.40, 1.04, .59
Chris Stratton, Pirates, CHC @ PIT, .00, .24, 1.04, .24, .15, .04, .00, .04, .12, .00, -.58, 1.03, .53
Kyle Finnegan, Nationals, WSH @ PHI, .00, .23, 1.04, .23, .14, .05, .01, .03, .12, .00, -.57, 1.01, .52
Tanner Rainey, Nationals, WSH @ PHI, .00, .21, .98, .19, .11, .05, .00, .04, .18, .00, -.62, 1.00, .49
Heath Hembree, Phillies, WSH @ PHI, .00, .22, .95, .20, .13, .04, .00, .03, .11, .00, -.49, .96, .51
Joely Rodriguez, Rangers, TEX @ HOU, .00, .21, .91, .20, .14, .04, .00, .02, .08, .00, -.44, .94, .51
Ryan Brasier, Red Sox, TOR @ BOS, .00, .18, .78, .18, .11, .03, .00, .03, .07, .00, -.40, .91, .50
Ian Gibaut, Rangers, TEX @ HOU, .00, .24, 1.12, .24, .16, .05, .00, .03, .19, .00, -.66, .97, .45
Dellin Betances, Mets, NYY @ NYM, .00, .18, .83, .15, .10, .03, .00, .02, .16, .00, -.44, .92, .48
Jesse Hahn, Royals, CWS @ KC, .00, .17, .76, .16, .11, .03, .00, .02, .10, .00, -.41, .87, .46
Ryan Borucki, Blue Jays, TOR @ BOS, .00, .20, .89, .20, .13, .05, .00, .02, .12, .00, -.53, .84, .41
Josh Osich, Cubs, TOR @ BOS, .00, .17, .73, .17, .10, .03, .00, .03, .07, .00, -.42, .80, .43
Zack Wheeler, Phillies, WSH @ PHI, .00, .18, .77, .18, .13, .03, .00, .02, .07, .00, -.37, .80, .43
Trevor Rosenthal, Padres, CWS @ KC, .00, .13, .54, .10, .07, .02, .00, .01, .07, .00, -.26, .78, .45
Noe Ramirez, Angels, SD @ LAA, .00, .15, .63, .12, .08, .02, .00, .02, .06, .00, -.27, .78, .44
Hector Neris, Phillies, WSH @ PHI, .00, .17, .69, .14, .10, .03, .00, .02, .07, .00, -.33, .78, .43
Rowan Wick, Cubs, CHC @ PIT, .00, .18, .77, .18, .12, .04, .00, .01, .07, .00, -.39, .79, .42
Ross Detwiler, White Sox, CWS @ KC, .00, .18, .75, .17, .11, .04, .00, .02, .06, .00, -.35, .74, .40
Ryne Harper, Nationals, WSH @ PHI, .00, .17, .75, .19, .11, .04, .00, .03, .05, .00, -.40, .74, .39
Nik Turley, Pirates, CHC @ PIT, .00, .17, .76, .15, .09, .04, .00, .01, .11, .00, -.42, .74, .38
Jace Fry, White Sox, CWS @ KC, .00, .17, .79, .17, .11, .04, .00, .01, .12, .00, -.47, .75, .37
Jordan Romano, Blue Jays, TOR @ BOS, .00, .15, .66, .15, .08, .03, .00, .02, .08, .00, -.37, .73, .39
Duane Underwood Jr., Cubs, CHC @ PIT, .00, .16, .68, .16, .10, .04, .01, .02, .06, .00, -.35, .73, .39
Michael King, Yankees, NYY @ NYM, .00, .18, .79, .19, .12, .04, .00, .03, .07, .00, -.41, .73, .38
Matt Foster, White Sox, CWS @ KC, .00, .16, .70, .15, .10, .03, .00, .01, .09, .00, -.36, .72, .38
Dylan Floro, Dodgers, ARI @ LAD, .00, .16, .67, .15, .11, .03, .00, .01, .05, .00, -.29, .71, .39
Matt Barnes, Red Sox, TOR @ BOS, .00, .13, .57, .11, .06, .02, .00, .02, .10, .00, -.32, .71, .38
Adam Ottavino, Yankees, NYY @ NYM, .00, .13, .54, .10, .07, .02, .00, .01, .07, .00, -.24, .68, .38
Kyle Ryan, Cubs, CHC @ PIT, .00, .17, .74, .18, .13, .03, .00, .01, .07, .00, -.39, .66, .33
Tyler Zuber, Royals, CWS @ KC, .00, .15, .69, .16, .10, .04, .00, .02, .09, .00, -.42, .65, .32
Jimmy Herget, Rangers, TEX @ HOU, .00, .18, .81, .18, .12, .04, .00, .03, .12, .00, -.47, .66, .30
Shun Yamaguchi, Blue Jays, TOR @ BOS, .00, .16, .75, .18, .11, .04, .00, .02, .11, .00, -.46, .64, .29
Jake McGee, Dodgers, ARI @ LAD, .00, .12, .49, .10, .06, .02, .00, .02, .04, .00, -.23, .59, .34
Matt Andriese, Angels, SD @ LAA, .00, .12, .48, .10, .07, .02, .00, .01, .04, .00, -.21, .58, .33
Thomas Hatch, Blue Jays, TOR @ BOS, .00, .14, .61, .15, .09, .03, .00, .03, .08, .00, -.36, .60, .30
