Name,FP,Price,PA,BB,1B,2B,3B,HR,R,RBI,SB
Trea Turner,12.7,5300,4.76,0.29,0.87,0.26,0.02,0.37,0.90,0.97,0.10
Mike Trout,12.5,6100,4.40,0.40,0.56,0.24,0.02,0.51,0.77,0.80,0.07
Tim Anderson,11.8,5500,4.81,0.24,0.99,0.22,0.08,0.19,0.75,0.65,0.37
Luke Voit,11.7,3900,4.70,0.44,0.67,0.22,0.01,0.43,0.73,0.90,0.01
Teoscar Hernandez,11.6,4400,4.63,0.43,0.56,0.26,0.04,0.31,0.74,0.97,0.14
Bryce Harper,11.5,6000,4.46,0.66,0.60,0.23,0.03,0.33,0.85,0.70,0.10
Manny Machado,11.5,4600,4.56,0.45,0.69,0.35,0.02,0.27,0.81,0.71,0.15
Luis Robert,11.5,4700,4.14,0.33,0.57,0.22,0.02,0.42,0.72,0.92,0.06
Jose Abreu,11.4,5300,4.47,0.31,0.50,0.33,0.05,0.39,0.76,0.88,0.01
Rhys Hoskins,11.0,4700,4.57,0.62,0.56,0.25,0.04,0.29,0.80,0.86,0.04
Clint Frazier,10.9,3600,4.48,0.47,0.67,0.27,0.04,0.31,0.66,0.70,0.08
Randal Grichuk,10.9,3800,4.85,0.27,0.77,0.19,0.00,0.39,0.69,0.85,0.00
Cavan Biggio,10.8,4900,4.96,0.61,0.76,0.32,0.03,0.15,0.77,0.68,0.20
Fernando Tatis Jr.,10.6,5200,4.67,0.53,0.56,0.24,0.06,0.32,0.66,0.65,0.07
Yoan Moncada,10.5,5400,4.69,0.46,0.83,0.15,0.04,0.28,0.73,0.70,0.04
Eric Hosmer,10.5,4200,4.45,0.31,0.80,0.23,0.01,0.29,0.70,0.77,0.06
J.T. Realmuto,10.3,5100,4.35,0.25,0.61,0.23,0.02,0.37,0.67,0.66,0.06
Giovanny Urshela,10.2,3600,4.37,0.46,0.62,0.16,0.07,0.30,0.60,0.75,0.06
Mookie Betts,10.1,5800,4.65,0.47,0.66,0.30,0.00,0.26,0.71,0.57,0.08
Corey Seager,10.1,4900,4.54,0.36,0.78,0.27,0.01,0.26,0.65,0.63,0.05
Jake Cronenworth,10.1,3900,4.11,0.35,0.80,0.34,0.01,0.27,0.59,0.52,0.05
Rowdy Tellez,9.9,2800,4.41,0.41,0.54,0.28,0.00,0.29,0.88,0.67,0.00
Trent Grisham,9.9,4000,4.78,0.44,0.63,0.26,0.01,0.24,0.73,0.58,0.12
Eloy Jimenez,9.8,4800,4.36,0.36,0.58,0.22,0.01,0.33,0.70,0.70,0.00
Yan Gomes,9.8,2900,4.09,0.34,0.74,0.29,0.04,0.19,0.71,0.69,0.06
Lourdes Gurriel,9.6,3900,4.30,0.42,0.66,0.22,0.05,0.20,0.75,0.65,0.08
Hunter Dozier,9.6,4300,4.49,0.61,0.53,0.23,0.03,0.20,0.70,0.67,0.12
Juan Soto,9.6,5600,4.65,0.48,0.76,0.15,0.02,0.24,0.73,0.59,0.04
Edwin Encarnacion,9.6,4000,4.25,0.36,0.41,0.26,0.02,0.34,0.60,0.77,0.00
Jonathan Villar,9.4,4100,4.74,0.34,0.88,0.23,0.04,0.13,0.72,0.43,0.19
Alex Verdugo,9.4,4600,4.67,0.38,0.75,0.28,0.06,0.16,0.76,0.53,0.05
Aaron Hicks,9.4,3200,4.59,0.64,0.59,0.23,0.01,0.24,0.59,0.66,0.02
Jay Bruce,9.4,2900,4.02,0.18,0.54,0.25,0.01,0.33,0.58,0.73,0.02
Anthony Rendon,9.4,5100,4.29,0.55,0.77,0.19,0.01,0.21,0.65,0.71,0.01
Xander Bogaerts,9.3,5100,4.34,0.40,0.60,0.23,0.04,0.24,0.72,0.54,0.05
Joc Pederson,9.3,3500,4.09,0.29,0.56,0.23,0.01,0.32,0.53,0.70,0.02
Maikel Franco,9.1,3700,4.27,0.33,0.59,0.28,0.05,0.17,0.66,0.72,0.07
Cody Bellinger,9.0,5200,4.31,0.43,0.61,0.24,0.00,0.21,0.64,0.62,0.08
Robinson Cano,8.9,4000,4.27,0.27,0.75,0.21,0.00,0.26,0.52,0.65,0.01
Pete Alonso,8.8,3000,4.60,0.41,0.70,0.11,0.05,0.22,0.63,0.67,0.00
Bobby Dalbec,8.8,2700,3.89,0.32,0.51,0.28,0.01,0.28,0.60,0.55,0.00
Jeff McNeil,8.8,2500,4.71,0.35,0.92,0.21,0.02,0.17,0.62,0.58,0.00
Travis Shaw,8.8,3800,4.18,0.47,0.65,0.20,0.00,0.21,0.71,0.65,0.01
Alec Bohm,8.8,3300,3.91,0.32,0.58,0.27,0.05,0.19,0.63,0.65,0.02
A.J. Pollock,8.8,3500,4.20,0.38,0.51,0.35,0.01,0.20,0.57,0.51,0.08
David Fletcher,8.7,4700,4.62,0.38,1.08,0.18,0.03,0.06,0.56,0.43,0.15
Vladimir Guerrero Jr.,8.6,4300,4.52,0.32,0.82,0.28,0.00,0.11,0.66,0.78,0.00
Max Muncy,8.5,5000,4.42,0.51,0.40,0.22,0.00,0.27,0.51,0.54,0.05
Kole Calhoun,8.4,4300,4.56,0.60,0.49,0.17,0.00,0.27,0.47,0.52,0.01
Asdrubal Cabrera,8.4,4400,4.43,0.50,0.68,0.25,0.03,0.17,0.54,0.48,0.01
Jorge Soler,8.4,4200,4.38,0.46,0.60,0.20,0.00,0.22,0.60,0.51,0.01
Mitch Moreland,8.3,4000,4.33,0.33,0.49,0.17,0.02,0.26,0.45,0.67,0.02
Rafael Devers,8.3,5200,4.56,0.34,0.56,0.23,0.08,0.15,0.61,0.64,0.00
Jake Marisnick,8.2,2000,4.04,0.30,0.64,0.21,0.02,0.24,0.55,0.46,0.01
Will Smith,8.2,3500,3.87,0.47,0.43,0.23,0.00,0.26,0.50,0.55,0.01
Roman Quinn,8.2,2300,3.79,0.16,0.76,0.16,0.00,0.14,0.59,0.50,0.22
DJ LeMahieu,8.1,4300,4.81,0.25,1.13,0.24,0.03,0.04,0.53,0.44,0.06
Shohei Ohtani,8.1,4600,4.51,0.42,0.54,0.15,0.01,0.18,0.55,0.46,0.18
Howie Kendrick,8.0,3900,4.54,0.19,1.05,0.20,0.01,0.12,0.48,0.51,0.02
Cam Gallagher,8.0,2300,3.71,0.44,0.64,0.27,0.01,0.15,0.62,0.43,0.02
Christian Vazquez,8.0,4500,4.23,0.20,0.83,0.16,0.01,0.16,0.55,0.53,0.07
Didi Gregorius,8.0,4400,4.13,0.27,0.68,0.26,0.01,0.11,0.61,0.60,0.09
Whit Merrifield,8.0,5300,4.60,0.28,0.78,0.16,0.04,0.13,0.63,0.38,0.11
Mike Tauchman,7.9,2900,4.26,0.28,0.74,0.16,0.06,0.16,0.37,0.55,0.08
Jackie Bradley,7.8,2800,4.01,0.38,0.86,0.20,0.00,0.10,0.51,0.63,0.02
J.D. Davis,7.8,2800,4.49,0.54,0.85,0.18,0.00,0.09,0.54,0.56,0.02
J.D. Martinez,7.7,5100,4.45,0.47,0.52,0.28,0.01,0.15,0.54,0.54,0.01
Christian Walker,7.6,4100,4.34,0.38,0.64,0.34,0.03,0.10,0.47,0.49,0.00
Adam Eaton,7.6,3400,4.20,0.20,0.67,0.29,0.07,0.07,0.54,0.51,0.05
Nick Madrigal,7.5,3000,3.92,0.12,0.80,0.23,0.04,0.05,0.64,0.47,0.10
Austin Nola,7.5,3600,4.22,0.38,0.77,0.22,0.01,0.13,0.42,0.48,0.00
Yasmani Grandal,7.3,4800,4.58,0.59,0.58,0.14,0.01,0.14,0.53,0.56,0.00
Jurickson Profar,7.3,3300,4.00,0.32,0.76,0.20,0.01,0.05,0.58,0.32,0.16
Wilson Ramos,7.2,2500,4.38,0.35,0.80,0.21,0.01,0.09,0.51,0.44,0.00
Todd Frazier,7.2,3700,4.16,0.20,0.74,0.25,0.03,0.09,0.46,0.49,0.03
Jean Segura,7.1,4500,4.24,0.40,0.66,0.18,0.03,0.12,0.53,0.39,0.03
Michael Conforto,7.1,3000,3.93,0.35,0.71,0.19,0.01,0.09,0.50,0.35,0.11
Eric Thames,7.1,3500,4.32,0.42,0.56,0.23,0.01,0.14,0.46,0.50,0.00
Chris Taylor,7.0,3700,3.98,0.41,0.70,0.20,0.06,0.06,0.44,0.26,0.11
Nomar Mazara,6.9,2500,4.03,0.31,0.62,0.16,0.02,0.14,0.37,0.63,0.00
Danny Jansen,6.9,3100,4.07,0.53,0.55,0.12,0.04,0.11,0.54,0.50,0.00
Gary Sanchez,6.9,3800,4.15,0.41,0.33,0.13,0.00,0.24,0.36,0.56,0.00
Victor Robles,6.8,2100,3.87,0.23,0.63,0.16,0.02,0.12,0.54,0.48,0.05
Brett Gardner,6.7,2700,4.03,0.50,0.52,0.13,0.02,0.13,0.42,0.32,0.11
Gavin Lux,6.7,3700,3.76,0.18,0.52,0.22,0.02,0.18,0.42,0.37,0.01
Alex Gordon,6.7,2300,4.05,0.37,0.62,0.14,0.02,0.12,0.36,0.55,0.01
Andrew McCutchen,6.6,4100,4.68,0.34,0.72,0.18,0.00,0.06,0.55,0.29,0.11
Michael Chavis,6.6,3800,4.12,0.14,0.65,0.18,0.02,0.12,0.53,0.47,0.01
Anthony Bemboom,6.6,2100,3.84,0.40,0.57,0.15,0.03,0.12,0.50,0.40,0.00
Albert Pujols,6.6,2600,4.06,0.14,0.56,0.25,0.01,0.14,0.38,0.50,0.01
Tyler Wade,6.5,2200,3.92,0.25,0.66,0.15,0.03,0.07,0.43,0.48,0.10
Eduardo Escobar,6.5,4000,4.12,0.27,0.64,0.13,0.00,0.14,0.44,0.39,0.03
Luis Garcia,6.3,3200,3.98,0.19,0.78,0.26,0.01,0.02,0.41,0.29,0.10
David Peralta,6.2,3700,4.23,0.12,0.75,0.21,0.02,0.07,0.38,0.28,0.09
Amed Rosario,6.2,2000,3.82,0.19,0.59,0.17,0.02,0.14,0.37,0.40,0.01
Tim Locastro,6.2,2400,4.01,0.33,0.63,0.16,0.02,0.08,0.31,0.35,0.10
Ketel Marte,6.2,5100,4.45,0.13,0.86,0.26,0.01,0.03,0.44,0.15,0.08
Adalberto Mondesi,6.2,3000,3.94,0.21,0.63,0.15,0.06,0.01,0.53,0.33,0.13
Andy Young,6.1,2300,3.79,0.45,0.44,0.14,0.01,0.16,0.39,0.35,0.00
Ryan O'Hearn,6.1,3400,4.16,0.41,0.59,0.22,0.02,0.04,0.33,0.53,0.01
Justin Upton,6.0,2100,4.17,0.37,0.43,0.12,0.00,0.15,0.45,0.39,0.00
Andrelton Simmons,5.9,3200,3.73,0.29,0.79,0.13,0.02,0.04,0.33,0.29,0.10
Jose Peraza,5.9,2700,3.78,0.18,0.60,0.16,0.03,0.09,0.33,0.46,0.03
Nicky Lopez,5.8,2800,3.83,0.32,0.73,0.18,0.01,0.03,0.40,0.39,0.00
Jo Adell,5.8,2000,3.95,0.23,0.70,0.12,0.01,0.10,0.41,0.32,0.00
Nick Ahmed,5.7,4200,3.90,0.23,0.63,0.15,0.05,0.04,0.37,0.24,0.10
Carson Kelly,5.5,2200,3.68,0.27,0.43,0.28,0.00,0.09,0.35,0.33,0.00