Name,FP,Price,W,IP,Ha,ER,K,BBa
Clayton Kershaw,20.2,10300,0.51,5.96,5.14,1.88,6.15,1.16
Andrew Heaney,18.2,8400,0.37,6.00,5.56,2.85,6.72,1.95
Zach Eflin,17.3,7800,0.43,5.47,5.07,2.50,6.16,1.47
Mike Clevinger,13.0,8700,0.30,5.35,5.39,2.73,4.82,1.86
Danny Duffy,12.8,7100,0.37,5.27,5.58,3.14,5.12,1.83
Dylan Cease,12.2,9500,0.32,5.93,6.27,3.54,4.89,2.16
Taijuan Walker,11.4,4800,0.39,5.53,5.91,3.29,4.39,1.93
Luke Weaver,10.6,8200,0.18,4.68,4.89,2.71,4.40,1.75
Robert Gsellman,9.3,5500,0.27,3.81,4.43,2.08,3.62,1.16
J.A. Happ,8.5,8900,0.27,4.85,5.82,3.21,3.78,1.91
Anibal Sanchez,8.2,7400,0.23,5.37,6.44,4.12,4.20,1.75
Martin Perez,7.7,6400,0.21,4.62,5.47,3.05,3.50,1.76
Kenley Jansen,1.7,5700,0.03,0.66,0.44,0.11,0.40,0.31
Ken Giles,1.3,4000,0.03,0.57,0.86,0.58,1.10,0.97
Edwin Diaz,1.2,4000,0.03,0.52,0.42,0.17,0.35,0.25
Hector Neris,0.8,4000,0.03,0.60,0.70,0.41,0.36,0.27
Matt Barnes,0.7,5700,0.02,0.36,0.38,0.20,0.30,0.24
Aroldis Chapman,0.3,4000,0.02,0.42,0.57,0.37,0.22,0.15
Sean Doolittle,0.1,4900,0.02,0.33,0.49,0.32,0.17,0.12
Hansel Robles,0.0,4300,0.02,0.48,0.85,0.61,0.39,0.31